,2P,2P.1,2PA,3P,3P.1,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,STL,TOV,TRB,Year,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF
1418,0.1,0.136,0.5,0.2,0.304,0.6,0.3,27,0,0.4,0.2,0.222,1.1,0.4,0.783,0.6,41,0,3,0,0.3,1.1,Eddie Gill,0.3,0.2,0.4,2006.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1419,0.5,0.438,1.1,0.4,0.333,1.1,1.6,29,0.1,1.5,0.9,0.387,2.2,0.6,1,0.6,14,1,11,0.1,1.3,2.7,Eddie Gill,0.5,0.6,1.6,2008.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1420,0.7,0.667,1,0.3,0.667,0.5,1.8,30,0.2,0.7,1,0.667,1.5,0,,0,6,0,7.2,0,1.7,2.3,Eddie Gill,0.5,0.8,0.7,2009.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1421,1.9,0.425,4.5,1,0.328,2.9,0.8,22,1.7,4.6,2.9,0.387,7.5,0.8,0.718,1.1,70,0,21.3,1.8,1.7,7.5,Eddie Griffin,0.3,0.8,6.5,2005.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1422,1.6,0.396,4.1,0.2,0.195,1.2,0.6,23,2.1,4,1.9,0.351,5.3,0.6,0.595,1.1,70,27,19.4,1.5,1.8,4.6,Eddie Griffin,0.2,0.6,5.6,2006.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,0.5,0.269,2,0,0.0,0.1,0.3,24,0.5,1.4,0.5,0.259,2.1,0.3,0.8,0.4,13,0,7.1,0.5,0.6,1.4,Eddie Griffin,0,0.5,1.9,2007.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1424,1.8,0.45,4,0.6,0.454,1.4,1.4,26,0.1,1,2.4,0.451,5.4,0.3,0.852,0.4,68,7,13.1,0.2,1,5.8,Eddie House,0.6,0.5,1.2,2005.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1425,2.4,0.445,5.5,1.5,0.389,3.9,1.8,27,0.1,1.4,4,0.422,9.4,0.4,0.805,0.5,81,0,17.5,0.2,1.2,9.8,Eddie House,0.5,0.9,1.6,2006.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1426,1.9,0.427,4.4,1.3,0.429,3.1,1.2,28,0.1,1.4,3.2,0.428,7.5,0.6,0.917,0.6,56,1,16.9,0.3,1.2,8.4,Eddie House,0.5,0.5,1.6,2007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1427,1.3,0.429,3,1.5,0.393,3.8,1.9,29,0.1,1.9,2.8,0.409,6.8,0.4,0.917,0.5,78,2,19,0.2,1.5,7.5,Eddie House,0.8,1,2.1,2008.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1428,1.2,0.445,2.7,1.9,0.444,4.2,1.1,30,0.1,1.8,3.1,0.445,6.9,0.5,0.792,0.7,81,0,18.3,0.1,1.4,8.5,Eddie House,0.8,0.7,1.9,2009.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1429,1.4,0.412,3.4,1.2,0.348,3.3,1.3,31,0.1,1.4,2.5,0.38,6.7,0.7,0.923,0.8,68,0,17.9,0.2,1.2,7,Eddie House,0.6,0.7,1.6,2010.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1430,1.1,0.411,2.6,1.2,0.389,3.1,1.1,32,0.1,1.5,2.3,0.399,5.7,0.7,0.95,0.7,56,1,17.5,0.2,1.2,6.5,Eddie House,0.6,0.5,1.6,2011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1431,2.6,0.477,5.5,1.8,0.372,4.8,2.7,33,0.5,4.6,4.4,0.428,10.3,2.2,0.806,2.7,80,80,35.5,0.5,3.1,12.7,Eddie Jones,1.1,1.2,5.1,2005.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
